,level,timestamp,lat,lon,boat_id,degree,ppm
0,3.67,2022-07-29 11:45:26-07:00,32.913798,-117.099351,1.0,25.0,0.0
1,3.68,2022-07-29 11:45:28-07:00,32.913797,-117.099351,1.0,25.0,0.0
2,3.69,2022-07-29 11:45:30-07:00,32.913798,-117.099352,1.0,25.0,0.0
3,3.69,2022-07-29 11:45:32-07:00,32.913799,-117.099353,1.0,25.0,0.0
4,3.68,2022-07-29 11:45:34-07:00,32.913799,-117.099352,1.0,25.0,0.0
5,3.67,2022-07-29 11:45:36-07:00,32.913799,-117.09935,1.0,25.0,0.0
6,3.7,2022-07-29 11:45:36-07:00,32.913799,-117.09935,1.0,25.0,0.0
7,3.69,2022-07-29 11:45:36-07:00,32.913799,-117.09935,1.0,25.06,0.0
8,3.69,2022-07-29 11:45:44-07:00,32.913807,-117.099349,1.0,25.0,0.0
9,3.68,2022-07-29 11:45:44-07:00,32.913807,-117.099349,1.0,25.0,0.0
10,3.69,2022-07-29 11:45:48-07:00,32.913804,-117.09935,1.0,25.06,0.0
11,3.7,2022-07-29 11:45:48-07:00,32.913804,-117.09935,1.0,25.0,0.0
12,3.68,2022-07-29 11:45:52-07:00,32.913802,-117.099368,1.0,25.0,0.0
13,3.67,2022-07-29 11:45:52-07:00,32.913802,-117.099368,1.0,25.0,0.0
14,3.7,2022-07-29 11:45:56-07:00,32.913807,-117.099368,1.0,25.0,0.0
15,3.7,2022-07-29 11:45:56-07:00,32.913807,-117.099368,1.0,25.0,0.0
16,3.68,2022-07-29 11:46:00-07:00,32.91382,-117.099361,1.0,25.06,0.0
17,3.68,2022-07-29 11:46:02-07:00,32.913825,-117.099367,1.0,25.06,0.0
18,3.69,2022-07-29 11:46:04-07:00,32.91383,-117.09937,1.0,25.0,0.0
19,3.68,2022-07-29 11:46:06-07:00,32.913833,-117.099369,1.0,25.0,0.0
20,3.67,2022-07-29 11:46:08-07:00,32.913824,-117.099368,1.0,25.0,0.0
21,3.69,2022-07-29 11:46:10-07:00,32.913819,-117.099372,1.0,25.06,0.0
22,3.7,2022-07-29 11:46:12-07:00,32.913831,-117.099368,1.0,25.06,0.0
23,3.68,2022-07-29 11:46:14-07:00,32.913826,-117.099371,1.0,25.06,0.0
24,3.68,2022-07-29 11:46:14-07:00,32.913826,-117.099371,1.0,25.0,0.0
25,3.7,2022-07-29 11:46:20-07:00,32.913837,-117.09938,1.0,25.0,0.0
26,3.69,2022-07-29 11:46:20-07:00,32.913837,-117.09938,1.0,25.06,0.0
